,events.out.tfevents.1556049459.xinyan
0,13.289999961853027
235,95.81999969482422
470,97.02999877929688
705,97.11000061035156
940,96.7300033569336
1175,97.37999725341797
1410,97.5999984741211
1645,97.44000244140625
1880,97.62999725341797
2115,97.55999755859375
2350,97.55999755859375
2585,98.0199966430664
2820,98.04000091552734
3055,98.02999877929688
3290,98.02999877929688
3525,98.0199966430664
3760,98.0199966430664
3995,98.05000305175781
4230,98.08000183105469
4465,97.95999908447266
4700,98.08000183105469
