,events.out.tfevents.1556051658.xinyan
0,2.383751392364502
235,0.04706867039203644
470,0.046667516231536865
705,0.0561128705739975
940,0.01819290593266487
1175,0.029443463310599327
1410,0.023749861866235733
1645,0.03764047846198082
1880,0.010023131035268307
2115,0.019667955115437508
2350,0.013826627284288406
2585,0.00876222550868988
2820,0.016629407182335854
3055,0.016125956550240517
3290,0.015210157260298729
3525,0.01342674158513546
3760,0.02191816456615925
3995,0.014071563258767128
4230,0.02550511620938778
4465,0.019078269600868225
4700,0.013678191229701042
