,events.out.tfevents.1556051658.xinyan
0,25.649999618530273
235,96.6500015258789
470,97.01000213623047
705,97.7699966430664
940,97.95999908447266
1175,97.77999877929688
1410,97.68000030517578
1645,97.77999877929688
1880,97.94999694824219
2115,98.19999694824219
2350,97.91000366210938
2585,98.16999816894531
2820,98.11000061035156
3055,97.94999694824219
3290,98.19999694824219
3525,98.12000274658203
3760,97.97000122070312
3995,97.97000122070312
4230,97.86000061035156
4465,98.2699966430664
4700,98.12999725341797
