,events.out.tfevents.1556805170.gpu5.cse.cuhk.edu.hk
195,8.239999771118164
391,14.760000228881836
587,21.920000076293945
783,28.34000015258789
979,35.86000061035156
1175,39.689998626708984
1371,43.58000183105469
1567,47.220001220703125
1763,49.900001525878906
1959,52.2599983215332
2155,54.25
2351,55.18000030517578
2547,57.43000030517578
2743,56.2599983215332
2939,58.599998474121094
3135,60.150001525878906
3331,59.2599983215332
3527,61.06999969482422
3723,61.0
3919,60.41999816894531
4115,62.279998779296875
4311,61.25
4507,60.970001220703125
4703,61.97999954223633
4899,63.58000183105469
5095,63.04999923706055
5291,64.01000213623047
5487,64.16000366210938
5683,63.849998474121094
5879,65.08000183105469
6075,64.66999816894531
6271,64.7699966430664
6467,65.5199966430664
6663,64.55999755859375
6859,64.55000305175781
7055,65.33000183105469
7251,66.5999984741211
7447,65.80999755859375
7643,66.08999633789062
7839,65.9000015258789
8035,66.5199966430664
8231,65.98999786376953
8427,66.80000305175781
8623,65.08000183105469
8819,64.73999786376953
9015,66.33000183105469
9211,66.62999725341797
9407,66.2300033569336
9603,65.6500015258789
9799,66.04000091552734
9995,76.3499984741211
10191,76.7300033569336
10387,77.19999694824219
10583,77.44000244140625
10779,77.55000305175781
10975,77.47000122070312
11171,77.70999908447266
11367,77.47000122070312
11563,77.55000305175781
11759,77.56999969482422
11955,77.48999786376953
12151,77.7699966430664
12347,77.44000244140625
12543,77.4000015258789
12739,77.20999908447266
12935,77.5999984741211
13131,77.7300033569336
13327,77.47000122070312
13523,77.5199966430664
13719,77.45999908447266
13915,77.9000015258789
14111,77.87000274658203
14307,77.83999633789062
14503,77.80000305175781
14699,77.48999786376953
14895,78.0
15091,77.76000213623047
15287,77.70999908447266
15483,77.47000122070312
15679,78.01000213623047
15875,77.66000366210938
16071,77.94000244140625
16267,77.5199966430664
