,events.out.tfevents.1556850304.gpu17,events.out.tfevents.1556849173.gpu5.cse.cuhk.edu.hk
195,3.8699169158935547,3.9812264442443848
391,3.6405725479125977,3.6227104663848877
587,3.207737445831299,3.207122802734375
783,2.904043197631836,2.8805453777313232
979,2.758829116821289,2.8616414070129395
1175,2.0740628242492676,2.070880651473999
1371,2.0889108180999756,2.176612615585327
1567,2.0908913612365723,2.050628662109375
1763,1.7708773612976074,1.856597661972046
1959,2.350339412689209,2.381849765777588
2155,1.6377475261688232,1.6113221645355225
2351,1.6034901142120361,1.6492948532104492
2547,1.8733325004577637,1.9000729322433472
2743,1.68352472782135,1.7025566101074219
2939,1.4104762077331543,1.5422430038452148
3135,1.6109225749969482,1.6736851930618286
3331,1.7143945693969727,1.6203465461730957
3527,1.2738734483718872,1.1880825757980347
3723,1.3347818851470947,1.336824655532837
3919,1.3430325984954834,1.2901711463928223
4115,1.4312357902526855,1.5133428573608398
4311,1.7528259754180908,1.7677267789840698
4507,1.5164570808410645,1.5122137069702148
4703,1.1665399074554443,1.3676161766052246
4899,1.5816779136657715,1.5547494888305664
5095,1.430238962173462,1.3939597606658936
5291,1.2203590869903564,1.4138649702072144
5487,1.2317177057266235,1.2365285158157349
5683,1.2942054271697998,1.2956397533416748
5879,1.2402558326721191,1.3269456624984741
6075,1.1076903343200684,1.161872386932373
6271,1.5435245037078857,1.255208969116211
6467,1.4406969547271729,1.3172380924224854
6663,1.622262716293335,1.6992244720458984
6859,1.3968318700790405,1.3938539028167725
7055,1.2733410596847534,1.2133071422576904
7251,1.3968415260314941,1.5505703687667847
7447,1.7082867622375488,1.6459070444107056
7643,1.278347134590149,1.2663991451263428
7839,1.25840163230896,1.1790146827697754
8035,1.3239500522613525,1.3479441404342651
8231,1.5751757621765137,1.5445538759231567
8427,1.2980928421020508,1.3651671409606934
8623,1.6217652559280396,1.3764898777008057
8819,1.2403197288513184,1.3808600902557373
9015,1.4548088312149048,1.475773572921753
9211,1.2824876308441162,1.2692997455596924
9407,1.226658582687378,1.1967048645019531
9603,1.5350223779678345,1.6820085048675537
9799,1.2263267040252686,1.065018892288208
9995,0.846632719039917,0.8539414405822754
10191,0.7047432661056519,0.6678622961044312
10387,0.9539598226547241,0.9736504554748535
10583,0.7394515872001648,0.8371590375900269
10779,0.6473345756530762,0.5539718866348267
10975,0.5098223090171814,0.45787179470062256
11171,0.7726225852966309,0.8814079165458679
11367,0.5725443363189697,0.6659474968910217
11563,0.6471166014671326,0.6941664814949036
11759,0.4153081774711609,0.4135063886642456
11955,0.5922399163246155,0.6978413462638855
12151,0.6481524705886841,0.5681046843528748
12347,0.5652335286140442,0.496812105178833
12543,0.5465222001075745,0.5129462480545044
12739,0.3521987199783325,0.3499751389026642
12935,0.48814907670021057,0.5296229124069214
13131,0.5968552231788635,0.5055275559425354
13327,0.3779870867729187,0.31759291887283325
13523,0.3092212975025177,0.4347982406616211
13719,0.46739500761032104,0.4039127826690674
13915,0.25962620973587036,0.303555428981781
14111,0.4041639566421509,0.49713975191116333
14307,0.2403414398431778,0.2872808277606964
14503,0.29214292764663696,0.28394269943237305
14699,0.3243933320045471,0.3269599378108978
14895,0.3837984502315521,0.31218498945236206
15091,0.3052794635295868,0.20193760097026825
15287,0.22362518310546875,0.22524721920490265
15483,0.21230801939964294,0.22733202576637268
15679,0.3713560402393341,0.2715036869049072
15875,0.3006124198436737,0.27607452869415283
16071,0.23228350281715393,0.220049649477005
16267,0.25344330072402954,0.22943535447120667
16463,0.2859022617340088,0.21877233684062958
16659,0.36400896310806274,0.439497172832489
16855,0.17820410430431366,0.20111429691314697
17051,0.13355523347854614,0.2000841200351715
17247,0.19910825788974762,0.24310311675071716
17443,0.2390596568584442,0.26390326023101807
17639,0.2811630070209503,0.3238208293914795
17835,0.19895417988300323,0.21957722306251526
18031,0.14496594667434692,0.23063039779663086
18227,0.2592256963253021,0.28974610567092896
18423,0.3647044897079468,0.274020791053772
18619,0.23036623001098633,0.30548661947250366
18815,0.24194779992103577,0.31844016909599304
19011,0.3091554045677185,0.21718885004520416
19207,0.285186767578125,0.21838882565498352
19403,0.30398356914520264,0.24445641040802002
19599,0.2809585928916931,0.23477274179458618
19795,0.23573963344097137,0.15696847438812256
19991,0.15185484290122986,0.16033755242824554
20187,0.3140333294868469,0.31152158975601196
20383,0.22088459134101868,0.30522090196609497
20579,0.2653551697731018,0.40379205346107483
20775,0.17743059992790222,0.1403791904449463
20971,0.20251449942588806,0.1662673056125641
21167,0.25735899806022644,0.22895590960979462
21363,0.2754192352294922,0.2697446644306183
21559,0.28500276803970337,0.22045060992240906
21755,0.23564162850379944,0.22049739956855774
21951,0.21538765728473663,0.2112429440021515
22147,0.20829248428344727,0.15856075286865234
22343,0.2689110040664673,0.28019219636917114
22539,0.25851839780807495,0.27220070362091064
22735,0.2264920473098755,0.19403132796287537
22931,0.13686317205429077,0.20601321756839752
23127,0.16428247094154358,0.2012888640165329
23323,0.24544502794742584,0.29401150345802307
23519,0.3026004433631897,0.2609739303588867
23715,0.28658339381217957,0.23049840331077576
23911,0.17277979850769043,0.16191203892230988
24107,0.2079903781414032,0.1812514215707779
24303,0.2557162642478943,0.31875836849212646
24499,0.18157842755317688,0.12453339993953705
24695,0.2100834846496582,0.17297321557998657
24891,0.18951597809791565,0.1603749394416809
25087,0.1941736936569214,0.2884063720703125
25283,0.30247536301612854,0.19405093789100647
25479,0.27348995208740234,0.1746794581413269
25675,0.15991196036338806,0.13228178024291992
25871,0.32748943567276,0.25114428997039795
26067,0.1580304354429245,0.16854314506053925
26263,0.1582799255847931,0.15823793411254883
26459,0.1887088418006897,0.12457653880119324
26655,0.2250770926475525,0.3188977837562561
26851,0.20430424809455872,0.14084702730178833
27047,0.16935789585113525,0.2945459485054016
27243,0.35484838485717773,0.28031715750694275
