,events.out.tfevents.1556756077.gpu2.cse.cuhk.edu.hk
195,3.9171977043151855
391,3.3376574516296387
587,2.912494659423828
783,2.4815690517425537
979,2.5203752517700195
1175,2.375673770904541
1371,1.6507294178009033
1567,1.4391117095947266
1763,1.8119969367980957
1959,1.8905247449874878
2155,2.017977714538574
2351,1.9038848876953125
2547,2.0683884620666504
2743,1.2543840408325195
2939,1.7092187404632568
3135,1.9219677448272705
3331,1.7199549674987793
3527,1.466293454170227
3723,1.4513450860977173
3919,1.5595979690551758
4115,1.4739493131637573
4311,1.7998602390289307
4507,1.475292682647705
4703,1.4967865943908691
4899,1.6719015836715698
5095,1.3963096141815186
5291,1.5744059085845947
5487,1.3831067085266113
5683,1.6709001064300537
5879,1.0866540670394897
6075,1.2626736164093018
6271,1.4165414571762085
6467,1.113033413887024
6663,1.4608049392700195
6859,1.316651701927185
7055,1.4658222198486328
7251,1.4207408428192139
7447,1.5410619974136353
7643,1.5874115228652954
7839,1.2822849750518799
8035,1.7315630912780762
8231,1.7061454057693481
8427,1.324997901916504
8623,1.4295356273651123
8819,1.5160787105560303
9015,1.6465435028076172
9211,1.0812439918518066
9407,1.2329130172729492
9603,1.0806201696395874
9799,1.5552423000335693
9995,1.0465939044952393
10191,0.6988615989685059
10387,0.658832311630249
10583,0.7982919812202454
10779,0.8090677857398987
10975,0.6567038297653198
11171,0.85528564453125
11367,0.7396217584609985
11563,0.5067708492279053
11759,0.6050735712051392
11955,0.6120568513870239
12151,0.5733815431594849
12347,0.6987742781639099
12543,0.5095736980438232
12739,0.5780000686645508
12935,0.6041783094406128
13131,0.4713909327983856
13327,0.3546071946620941
13523,0.6274449229240417
13719,0.36012589931488037
13915,0.47325870394706726
14111,0.1942209005355835
14307,0.4061133861541748
14503,0.41168680787086487
14699,0.46476662158966064
14895,0.3310086727142334
15091,0.40212908387184143
15287,0.35832253098487854
15483,0.4107430577278137
15679,0.13049323856830597
15875,0.35148143768310547
16071,0.3244244456291199
16267,0.26917022466659546
16463,0.35725197196006775
16659,0.33342456817626953
16855,0.2972911596298218
17051,0.26850947737693787
17247,0.3002973794937134
17443,0.3778623044490814
17639,0.29596224427223206
17835,0.16785989701747894
18031,0.2408735156059265
18227,0.31172043085098267
18423,0.20914310216903687
18619,0.34153884649276733
18815,0.22322139143943787
19011,0.44103488326072693
19207,0.2941025197505951
19403,0.21222910284996033
19599,0.2770463824272156
19795,0.27197977900505066
19991,0.39489325881004333
20187,0.23111751675605774
20383,0.30524343252182007
20579,0.4193442761898041
20775,0.24330183863639832
20971,0.259640097618103
21167,0.22535595297813416
21363,0.24078631401062012
21559,0.21630282700061798
21755,0.1749858260154724
21951,0.23095884919166565
22147,0.2780005633831024
22343,0.20171287655830383
22539,0.36322352290153503
22735,0.42847099900245667
22931,0.1314137727022171
23127,0.3025819659233093
23323,0.18089672923088074
23519,0.3967967629432678
23715,0.30085235834121704
23911,0.2172393649816513
24107,0.25798583030700684
24303,0.3693242073059082
24499,0.24029158055782318
24695,0.39868032932281494
24891,0.20253439247608185
25087,0.2717147469520569
25283,0.3533053398132324
25479,0.3903833329677582
25675,0.20958180725574493
25871,0.307625949382782
26067,0.34109967947006226
26263,0.24289007484912872
26459,0.27672651410102844
26655,0.32320475578308105
26851,0.15411001443862915
27047,0.22829678654670715
27243,0.1914893090724945
27439,0.3068835735321045
27635,0.18784989416599274
27831,0.32038336992263794
28027,0.28555789589881897
28223,0.1986944079399109
28419,0.2549446225166321
28615,0.21991826593875885
28811,0.17351719737052917
29007,0.26623740792274475
29203,0.17193418741226196
29399,0.30602553486824036
29595,0.24701033532619476
