,events.out.tfevents.1556050338.xinyan
0,2.383751392364502
235,0.055650267750024796
470,0.05385532230138779
705,0.06422460079193115
940,0.06332096457481384
1175,0.049191247671842575
1410,0.03127128258347511
1645,0.032246723771095276
1880,0.032035037875175476
2115,0.02199067547917366
2350,0.015174398198723793
2585,0.010812445543706417
2820,0.016562556847929955
3055,0.008449484594166279
3290,0.012663597241044044
3525,0.009566934779286385
3760,0.009041433222591877
3995,0.010700546205043793
4230,0.013484307564795017
4465,0.011669173836708069
4700,0.009333381429314613
