,events.out.tfevents.1556052076.xinyan
0,2.383751392364502
235,0.09357999265193939
470,0.0959891676902771
705,0.07834923267364502
940,0.027146946638822556
1175,0.07720912992954254
1410,0.0317525640130043
1645,0.06394839286804199
1880,0.017555376514792442
2115,0.044139303267002106
2350,0.03670334815979004
2585,0.005265099927783012
2820,0.043344952166080475
3055,0.02696659415960312
3290,0.028143003582954407
3525,0.025339718908071518
3760,0.03135538846254349
3995,0.0320846289396286
4230,0.03174588084220886
4465,0.027980290353298187
4700,0.021346980705857277
