,events.out.tfevents.1556052076.xinyan
0,24.469999313354492
235,95.91000366210938
470,95.80999755859375
705,96.91999816894531
940,97.0199966430664
1175,96.5199966430664
1410,97.31999969482422
1645,97.1500015258789
1880,97.55999755859375
2115,97.62999725341797
2350,97.26000213623047
2585,97.55999755859375
2820,97.7300033569336
3055,97.54000091552734
3290,97.7300033569336
3525,97.55000305175781
3760,97.48999786376953
3995,97.63999938964844
4230,97.81999969482422
4465,97.70999908447266
4700,97.37999725341797
