,events.out.tfevents.1557735717.gpu1.cse.cuhk.edu.hk,events.out.tfevents.1557737088.gpu5.cse.cuhk.edu.hk
22539,93.87999725341797,93.86000061035156
22735,94.12000274658203,93.77999877929688
22931,93.83000183105469,93.80999755859375
23127,93.86000061035156,93.43000030517578
23323,94.12000274658203,93.37999725341797
23519,93.8499984741211,93.88999938964844
23715,94.0999984741211,93.93000030517578
23911,93.87999725341797,93.54000091552734
24107,93.9800033569336,93.79000091552734
24303,93.81999969482422,93.75
24499,93.80999755859375,93.91999816894531
24695,93.94000244140625,93.68000030517578
24891,94.04000091552734,93.55999755859375
25087,94.0199966430664,93.93000030517578
25283,94.12000274658203,93.80000305175781
25479,93.94000244140625,93.20999908447266
25675,93.9000015258789,93.31999969482422
25871,93.94999694824219,93.4800033569336
26067,93.77999877929688,93.48999786376953
26263,93.81999969482422,93.72000122070312
26459,93.47000122070312,93.63999938964844
26655,93.6500015258789,93.56999969482422
26851,93.62000274658203,93.52999877929688
27047,93.8499984741211,93.81999969482422
27243,93.68000030517578,93.45999908447266
27439,93.2699966430664,93.37000274658203
27635,93.94999694824219,93.87000274658203
27831,93.58999633789062,93.41999816894531
28027,93.88999938964844,93.87999725341797
28223,93.62000274658203,93.41999816894531
28419,94.0,93.7699966430664
28615,93.61000061035156,93.87999725341797
28811,93.72000122070312,93.75
29007,93.30999755859375,93.30000305175781
29203,93.69000244140625,93.73999786376953
29399,93.86000061035156,93.52999877929688
29595,93.69000244140625,93.73999786376953
