,events.out.tfevents.1556935979.gpu17
195,2.040189504623413
391,2.0345962047576904
587,1.7751057147979736
783,1.5855190753936768
979,1.4832102060317993
1175,1.5096768140792847
1371,0.9966246485710144
1567,1.110138177871704
1763,0.8672930002212524
1959,0.7029761075973511
2155,0.757305383682251
2351,0.866871178150177
2547,0.6681767702102661
2743,0.5894836783409119
2939,0.7546135187149048
3135,0.6879851222038269
3331,0.5161747336387634
3527,0.5004153251647949
3723,0.4929339587688446
3919,0.46081435680389404
4115,0.5239583253860474
4311,0.4516843259334564
4507,0.43083760142326355
4703,0.5547594428062439
4899,0.6451752781867981
5095,0.5689066052436829
5291,0.49565958976745605
5487,0.48504406213760376
5683,0.2729363739490509
5879,0.45678430795669556
6075,0.3355565071105957
6271,0.36210817098617554
6467,0.390092134475708
6663,0.4506664574146271
6859,0.2539382576942444
7055,0.1786779761314392
7251,0.44733190536499023
7447,0.37237560749053955
7643,0.2660786211490631
7839,0.42295190691947937
8035,0.5747619271278381
8231,0.3592025637626648
8427,0.3600521683692932
8623,0.6524649858474731
8819,0.14819565415382385
9015,0.5570675134658813
9211,0.4208468794822693
9407,0.31321683526039124
9603,0.39419418573379517
9799,0.5259768962860107
9995,0.09116266667842865
10191,0.07808240503072739
10387,0.09909673035144806
10583,0.06062264367938042
10779,0.06370986998081207
10975,0.046469446271657944
11171,0.12943823635578156
11367,0.07089217007160187
11563,0.10523360222578049
11759,0.07488025724887848
11955,0.05379065126180649
12151,0.18171259760856628
12347,0.056048303842544556
12543,0.11453913897275925
12739,0.06421412527561188
12935,0.07193261384963989
13131,0.07166953384876251
13327,0.06997885555028915
13523,0.11058956384658813
13719,0.026278812438249588
13915,0.008150631561875343
14111,0.20576104521751404
14307,0.011566901579499245
14503,0.041919905692338943
14699,0.06738481670618057
14895,0.05471949651837349
15091,0.10725890845060349
15287,0.014862733893096447
15483,0.0057746474631130695
15679,0.05080525577068329
15875,0.036869317293167114
16071,0.03639596328139305
16267,0.011262577958405018
16463,0.07266222685575485
16659,0.05863593518733978
16855,0.05809576064348221
17051,0.05161822587251663
17247,0.01072421669960022
17443,0.005974096246063709
17639,0.024180810898542404
17835,0.009398311376571655
18031,0.12299816310405731
18227,0.03838834539055824
18423,0.058561183512210846
18619,0.019518649205565453
18815,0.02376209758222103
19011,0.07869618386030197
19207,0.058536555618047714
19403,0.022859346121549606
19599,0.012396352365612984
19795,0.060116786509752274
19991,0.05472718924283981
20187,0.008668219670653343
20383,0.03715742006897926
20579,0.005272775888442993
20775,0.029016654938459396
20971,0.005848031956702471
21167,0.09864117205142975
21363,0.07224633544683456
21559,0.03006882779300213
21755,0.004853296093642712
21951,0.05141051858663559
22147,0.026545412838459015
22343,0.007034617476165295
