,events.out.tfevents.1556853567.gpu19
195,44.34000015258789
391,52.27000045776367
587,62.08000183105469
783,69.31999969482422
979,74.12000274658203
1175,76.29000091552734
1371,77.95999908447266
1567,78.0999984741211
1763,78.51000213623047
1959,79.72000122070312
2155,80.77999877929688
2351,79.12000274658203
2547,81.25
2743,81.4000015258789
2939,80.19999694824219
3135,79.51000213623047
3331,78.86000061035156
3527,81.41000366210938
3723,81.41999816894531
3919,79.95999908447266
4115,81.5199966430664
4311,80.73999786376953
4507,83.29000091552734
4703,81.91000366210938
4899,82.69000244140625
5095,81.72000122070312
5291,83.04000091552734
5487,83.13999938964844
5683,80.58999633789062
5879,82.97000122070312
6075,82.77999877929688
6271,80.30000305175781
6467,81.51000213623047
6663,82.8499984741211
6859,82.80000305175781
7055,81.30999755859375
7251,82.4800033569336
7447,82.04000091552734
7643,80.68000030517578
7839,80.29000091552734
8035,81.61000061035156
8231,82.08000183105469
8427,83.16999816894531
8623,82.4800033569336
8819,82.4000015258789
9015,83.52999877929688
9211,84.4000015258789
9407,83.26000213623047
9603,83.1500015258789
9799,80.23999786376953
9995,87.88999938964844
10191,88.37000274658203
10387,88.87000274658203
10583,89.30000305175781
10779,89.30999755859375
10975,88.97000122070312
11171,89.7300033569336
11367,89.91000366210938
11563,89.2699966430664
11759,89.76000213623047
11955,90.08000183105469
12151,90.16000366210938
12347,89.91999816894531
12543,90.0999984741211
12739,89.8499984741211
12935,90.29000091552734
13131,90.19999694824219
13327,89.9800033569336
13523,90.1500015258789
13719,90.19999694824219
13915,90.69000244140625
14111,90.9000015258789
14307,90.66999816894531
14503,90.54000091552734
14699,90.87000274658203
14895,90.7699966430664
15091,91.01000213623047
15287,90.80999755859375
15483,90.45999908447266
15679,90.69000244140625
15875,90.97000122070312
16071,90.61000061035156
16267,90.80000305175781
16463,90.80999755859375
16659,90.83000183105469
16855,90.66000366210938
17051,91.02999877929688
17247,90.86000061035156
17443,90.83000183105469
17639,90.80999755859375
17835,90.94999694824219
18031,90.94000244140625
18227,90.70999908447266
18423,90.95999908447266
18619,90.80999755859375
18815,91.22000122070312
19011,90.43000030517578
19207,90.94000244140625
19403,90.75
19599,90.70999908447266
19795,90.73999786376953
19991,90.81999969482422
20187,91.0199966430664
20383,91.0199966430664
20579,90.93000030517578
20775,90.86000061035156
20971,91.08000183105469
21167,90.83999633789062
21363,90.88999938964844
21559,91.16999816894531
21755,91.05000305175781
21951,91.11000061035156
22147,90.68000030517578
22343,90.31999969482422
22539,90.61000061035156
22735,90.33999633789062
22931,91.25
23127,90.9000015258789
23323,90.94000244140625
23519,90.70999908447266
23715,90.7300033569336
23911,90.87000274658203
24107,90.66999816894531
24303,90.9800033569336
24499,90.94000244140625
24695,90.61000061035156
24891,90.8499984741211
25087,91.41999816894531
25283,90.6500015258789
25479,90.83999633789062
25675,90.94999694824219
25871,90.98999786376953
26067,90.73999786376953
26263,90.45999908447266
26459,90.97000122070312
26655,91.08999633789062
26851,90.80000305175781
27047,91.12000274658203
27243,90.86000061035156
27439,91.16999816894531
27635,91.25
27831,90.98999786376953
28027,90.7699966430664
28223,90.9000015258789
28419,90.68000030517578
28615,91.2699966430664
28811,90.66000366210938
29007,90.87999725341797
29203,90.77999877929688
29399,90.80000305175781
29595,90.4800033569336
