,events.out.tfevents.1556853567.gpu19
195,1.519559621810913
391,1.6144087314605713
587,1.1658656597137451
783,0.9299389123916626
979,0.7927200198173523
1175,0.7092510461807251
1371,0.7710413336753845
1567,0.6184860467910767
1763,0.792823314666748
1959,0.5424689054489136
2155,0.5638079643249512
2351,0.648330807685852
2547,0.6177107691764832
2743,0.6823946833610535
2939,0.5288512110710144
3135,0.44546976685523987
3331,0.707531213760376
3527,0.6107879877090454
3723,0.5694878101348877
3919,0.7570807337760925
4115,0.739115834236145
4311,0.49299466609954834
4507,0.8108423352241516
4703,0.8170822858810425
4899,0.6983683109283447
5095,0.6089178323745728
5291,0.529643177986145
5487,0.6715132594108582
5683,0.5889418125152588
5879,0.5557633638381958
6075,0.7025876045227051
6271,0.6090809106826782
6467,0.556228756904602
6663,0.6644552946090698
6859,0.7026453018188477
7055,0.6206368207931519
7251,0.81292325258255
7447,0.5508620142936707
7643,0.5661807060241699
7839,0.47785288095474243
8035,0.5315697193145752
8231,0.6928539276123047
8427,0.6918976902961731
8623,0.5590986013412476
8819,0.5795173048973083
9015,0.6294140815734863
9211,0.6406621932983398
9407,0.5544131994247437
9603,0.6786550879478455
9799,0.5773021578788757
9995,0.43042808771133423
10191,0.4490649700164795
10387,0.6901692152023315
10583,0.5825955867767334
10779,0.25230398774147034
10975,0.2464308887720108
11171,0.36948418617248535
11367,0.34647300839424133
11563,0.18000462651252747
11759,0.32326024770736694
11955,0.2543497085571289
12151,0.40042710304260254
12347,0.2725934088230133
12543,0.23087507486343384
12739,0.17015434801578522
12935,0.4980279207229614
13131,0.38371706008911133
13327,0.33029717206954956
13523,0.4887681007385254
13719,0.2920895516872406
13915,0.29444313049316406
14111,0.3078022003173828
14307,0.27683204412460327
14503,0.3135533034801483
14699,0.2773083448410034
14895,0.23987093567848206
15091,0.27564096450805664
15287,0.234976664185524
15483,0.23689009249210358
15679,0.2885584235191345
15875,0.22815045714378357
16071,0.2887747883796692
16267,0.18818260729312897
16463,0.13225394487380981
16659,0.2028740495443344
16855,0.16161823272705078
17051,0.14371216297149658
17247,0.17073985934257507
17443,0.24603474140167236
17639,0.24980281293392181
17835,0.33134815096855164
18031,0.11309285461902618
18227,0.20943398773670197
18423,0.17335765063762665
18619,0.11655190587043762
18815,0.2207304686307907
19011,0.14952802658081055
19207,0.1996232569217682
19403,0.056116312742233276
19599,0.2514799237251282
19795,0.19616639614105225
19991,0.39521896839141846
20187,0.12318508327007294
20383,0.12781694531440735
20579,0.16613967716693878
20775,0.1294989138841629
20971,0.33826178312301636
21167,0.21647796034812927
21363,0.18831326067447662
21559,0.1248118057847023
21755,0.22502166032791138
21951,0.2370586395263672
22147,0.30705592036247253
22343,0.22406303882598877
22539,0.18677231669425964
22735,0.27509790658950806
22931,0.19371822476387024
23127,0.27460771799087524
23323,0.15137523412704468
23519,0.33990514278411865
23715,0.1900244951248169
23911,0.34595930576324463
24107,0.31112226843833923
24303,0.1136670932173729
24499,0.1577625572681427
24695,0.256079763174057
24891,0.1342703253030777
25087,0.22914105653762817
25283,0.07951332628726959
25479,0.1540215164422989
25675,0.09195223450660706
25871,0.31940916180610657
26067,0.1612376570701599
26263,0.14427624642848969
26459,0.25534284114837646
26655,0.29114818572998047
26851,0.28170377016067505
27047,0.2771231532096863
27243,0.10662026703357697
27439,0.16075624525547028
27635,0.3279086947441101
27831,0.26674216985702515
28027,0.1547224521636963
28223,0.30005013942718506
28419,0.14754313230514526
28615,0.16138756275177002
28811,0.11263494193553925
29007,0.1258690506219864
29203,0.328291654586792
29399,0.1506829559803009
29595,0.3001517653465271
