,events.out.tfevents.1556337843.gpu2.cse.cuhk.edu.hk
195,49.4900016784668
391,64.27999877929688
587,71.75
783,78.02999877929688
979,79.58999633789062
1175,82.54000091552734
1371,82.4000015258789
1567,81.77999877929688
1763,84.41999816894531
1959,85.26000213623047
2155,85.12000274658203
2351,85.38999938964844
2547,85.8499984741211
2743,86.33000183105469
2939,87.55999755859375
3135,86.62999725341797
3331,87.2699966430664
3527,88.58999633789062
3723,86.30000305175781
3919,87.9800033569336
4115,86.22000122070312
4311,86.66000366210938
4507,88.56999969482422
4703,87.66000366210938
4899,88.88999938964844
5095,88.29000091552734
5291,87.55999755859375
5487,89.5
5683,88.66000366210938
5879,88.44000244140625
6075,88.0
6271,87.52999877929688
6467,89.19999694824219
6663,88.55000305175781
6859,88.6500015258789
7055,87.95999908447266
7251,88.11000061035156
7447,89.19999694824219
7643,89.9800033569336
7839,88.44000244140625
8035,88.87000274658203
8231,89.1500015258789
8427,88.86000061035156
8623,88.66999816894531
8819,89.95999908447266
9015,89.11000061035156
9211,88.76000213623047
9407,89.12999725341797
9603,89.29000091552734
9799,89.54000091552734
9995,93.47000122070312
10191,93.75
10387,93.8499984741211
10583,93.86000061035156
10779,94.08999633789062
10975,93.8499984741211
11171,93.80999755859375
11367,94.27999877929688
11563,94.06999969482422
11759,94.05000305175781
11955,93.8499984741211
12151,94.18000030517578
12347,94.04000091552734
12543,94.43000030517578
12739,94.19000244140625
12935,94.12999725341797
13131,94.08999633789062
13327,94.13999938964844
13523,94.0
13719,94.0999984741211
13915,94.1500015258789
14111,94.3499984741211
14307,94.2300033569336
14503,94.4800033569336
14699,94.27999877929688
14895,94.30999755859375
15091,94.27999877929688
15287,94.41000366210938
15483,94.18000030517578
15679,94.44000244140625
15875,94.36000061035156
16071,94.19000244140625
16267,94.23999786376953
16463,94.30000305175781
16659,94.25
16855,94.43000030517578
17051,94.51000213623047
17247,94.44999694824219
17443,94.62000274658203
17639,94.33000183105469
17835,94.37000274658203
18031,94.30999755859375
18227,94.48999786376953
18423,94.37000274658203
18619,94.12000274658203
18815,94.5
19011,94.37000274658203
19207,94.38999938964844
19403,94.68000030517578
19599,94.4800033569336
19795,94.27999877929688
19991,94.5199966430664
20187,94.62000274658203
20383,94.43000030517578
20579,94.1500015258789
20775,94.16999816894531
20971,94.45999908447266
21167,94.4800033569336
21363,94.3499984741211
21559,94.33999633789062
21755,94.19999694824219
21951,94.54000091552734
22147,94.44999694824219
22343,94.19999694824219
22539,94.4000015258789
22735,94.16999816894531
22931,94.30000305175781
23127,94.33000183105469
23323,94.27999877929688
23519,94.48999786376953
23715,94.0
23911,94.2699966430664
24107,94.38999938964844
24303,94.36000061035156
24499,94.41000366210938
24695,94.27999877929688
24891,94.37000274658203
25087,94.36000061035156
25283,94.27999877929688
25479,94.33000183105469
25675,94.37999725341797
25871,94.55999755859375
26067,94.54000091552734
26263,94.27999877929688
26459,94.33999633789062
26655,94.19000244140625
26851,94.27999877929688
27047,94.0
27243,94.30000305175781
27439,94.29000091552734
27635,94.20999908447266
27831,94.37999725341797
28027,94.12999725341797
28223,94.44999694824219
28419,94.08000183105469
28615,94.18000030517578
28811,94.33999633789062
29007,94.12999725341797
29203,94.41000366210938
29399,94.2699966430664
29595,94.33000183105469
