,events.out.tfevents.1556049834.xinyan
0,2.383751392364502
235,0.16814857721328735
470,0.07909083366394043
705,0.05883101001381874
940,0.04306653141975403
1175,0.09448370337486267
1410,0.09271027147769928
1645,0.0801023542881012
1880,0.03673857823014259
2115,0.02500653639435768
2350,0.04238097742199898
2585,0.03858376294374466
2820,0.04207347333431244
3055,0.024643907323479652
3290,0.028088735416531563
3525,0.02339233085513115
3760,0.02584313042461872
3995,0.03767284005880356
4230,0.025194134563207626
4465,0.021450918167829514
4700,0.06244325637817383
