,events.out.tfevents.1556049834.xinyan
0,10.65999984741211
235,95.38999938964844
470,96.41999816894531
705,96.58999633789062
940,96.87999725341797
1175,96.81999969482422
1410,97.05000305175781
1645,97.31999969482422
1880,97.38999938964844
2115,97.2699966430664
2350,97.4800033569336
2585,97.61000061035156
2820,97.61000061035156
3055,97.5999984741211
3290,97.58000183105469
3525,97.58000183105469
3760,97.58999633789062
3995,97.66999816894531
4230,97.66999816894531
4465,97.56999969482422
4700,97.5999984741211
