,events.out.tfevents.1556051686.xinyan
0,2.383751392364502
235,0.04475582391023636
470,0.04751010611653328
705,0.057425323873758316
940,0.022429054602980614
1175,0.03285139799118042
1410,0.01944386400282383
1645,0.03010469302535057
1880,0.011816328391432762
2115,0.027842000126838684
2350,0.02104463055729866
2585,0.006128598004579544
2820,0.01563413254916668
3055,0.019948558881878853
3290,0.016395380720496178
3525,0.012352744117379189
3760,0.02702462300658226
3995,0.018583478406071663
4230,0.018346715718507767
4465,0.022031761705875397
4700,0.01249672845005989
