,events.out.tfevents.1556532824.gpu2.cse.cuhk.edu.hk
195,9.640000343322754
391,10.0
587,10.0
783,10.0
979,10.0
1175,10.0
1371,10.0
1567,10.0
1763,10.0
1959,10.0
2155,10.0
2351,10.0
2547,10.0
2743,10.0
2939,10.0
3135,10.0
3331,10.0
3527,10.0
3723,10.0
3919,10.0
4115,10.0
4311,10.0
4507,10.0
4703,10.0
4899,10.0
5095,10.0
5291,10.0
5487,10.0
5683,10.0
5879,10.0
6075,10.0
6271,10.0
6467,10.0
6663,10.0
6859,10.0
7055,10.0
7251,10.0
7447,10.0
7643,10.0
7839,10.0
8035,10.0
8231,10.0
8427,10.0
8623,10.0
8819,10.0
9015,10.0
9211,10.0
9407,10.0
9603,10.0
9799,10.0
9995,10.0
10191,10.0
10387,10.0
10583,10.0
10779,10.0
10975,10.0
11171,10.0
11367,10.0
11563,10.0
11759,10.0
11955,10.0
12151,10.0
12347,10.0
12543,10.0
12739,10.0
12935,10.0
13131,10.0
13327,10.0
13523,10.0
13719,10.0
13915,10.0
14111,10.0
14307,10.0
14503,10.0
14699,10.0
14895,10.0
15091,10.0
15287,10.0
15483,10.0
15679,10.0
15875,10.0
16071,10.0
16267,10.0
16463,10.0
16659,10.0
16855,10.0
17051,10.0
17247,10.0
17443,10.0
17639,10.0
17835,10.0
18031,10.0
18227,10.0
18423,10.0
18619,10.0
18815,10.0
19011,10.0
19207,10.0
19403,10.0
19599,10.0
19795,10.0
19991,10.0
20187,10.0
20383,10.0
20579,10.0
20775,10.0
20971,10.0
21167,10.0
21363,10.0
21559,10.0
21755,10.0
21951,10.0
22147,10.0
22343,10.0
22539,10.0
22735,10.0
22931,10.0
23127,10.0
23323,10.0
23519,10.0
23715,10.0
23911,10.0
24107,10.0
24303,10.0
24499,10.0
24695,10.0
24891,10.0
25087,10.0
25283,10.0
25479,10.0
25675,10.0
25871,10.0
26067,10.0
26263,10.0
26459,10.0
26655,10.0
26851,10.0
27047,10.0
27243,10.0
27439,10.0
27635,10.0
27831,10.0
28027,10.0
28223,10.0
28419,10.0
28615,10.0
28811,10.0
29007,10.0
29203,10.0
29399,10.0
29595,10.0
